UID,organisationunitname,lga,ward,year,ANC1,ANCA,IPT1,IPT3,IPT1_per_ANC1,IPT3_per_ANC1,IPT3_per_IPT1,ANC1_per_Preg,IPT3_per_Preg,LLIN_per_Preg
13121376,NA,Biase,Ikun/Eteno,2022,38,98,40,12,1.0526315789473684,0.3157894736842105,0.3,NA,NA,NA
26827241,NA,Biase,Erie South,2022,36,62,20,1,0.5555555555555556,0.027777777777777776,0.05,NA,NA,NA
38425692,NA,Biase,Agwagune/Okureke,2022,38,145,39,30,1.0263157894736843,0.7894736842105263,0.7692307692307693,NA,NA,NA
73274000,NA,Biase,Ikun/Eteno,2022,75,161,59,22,0.7866666666666666,0.29333333333333333,0.3728813559322034,NA,NA,NA
21483378,NA,Biase,Akpet Abini,2022,291,880,149,62,0.5120274914089347,0.21305841924398625,0.4161073825503356,NA,NA,NA
78382033,NA,Biase,Agwagune/Okureke,2022,30,73,30,15,1,0.5,0.5,NA,NA,NA
41723162,NA,Biase,Akpet Abini,2022,93,178,82,10,0.8817204301075269,0.10752688172043011,0.12195121951219512,NA,NA,NA
45600472,NA,Yakurr,Idomi,2022,26,158,25,41,0.9615384615384616,1.5769230769230769,1.64,NA,NA,NA
56823892,NA,Biase,Adim,2022,44,119,41,22,0.9318181818181818,0.5,0.5365853658536586,NA,NA,NA
55229978,NA,Biase,Erie South,2022,31,78,16,7,0.5161290322580645,0.22580645161290322,0.4375,NA,NA,NA
20864412,NA,Biase,Agwagune/Okureke,2022,75,155,75,22,1,0.29333333333333333,0.29333333333333333,NA,NA,NA
80420318,NA,Biase,Ikun/Eteno,2022,34,82,31,9,0.9117647058823529,0.2647058823529412,0.2903225806451613,NA,NA,NA
67331963,NA,Biase,Adim,2022,119,396,115,73,0.9663865546218487,0.6134453781512605,0.6347826086956522,NA,NA,NA
49249814,NA,Biase,Akpet Abini,2022,74,199,63,31,0.8513513513513513,0.4189189189189189,0.49206349206349204,NA,NA,NA
